date,model,GTAA,DM,PAA,DAA,Sentiment,risk,n_weight,dji
2019-07-10,13319676.055529062,12293338.853795357,15816201.520842928,12751275.04592878,13230014.47195882,12665757.675521946,13140386.025351236,13316277.41004889,1242502.9526995418
2019-07-11,13319677.09714295,12273061.354090571,15771359.201763256,12823275.01044933,13207170.268430805,12667593.074830512,13150077.444352578,13316615.909858696,1241462.1961575064
2019-07-12,13387753.194763571,12452693.49065834,15853484.812606659,12885645.9357772,13054343.759201406,12753727.069416763,13300090.057680294,13385692.679930529,1248766.2989552058
2019-07-15,13446123.647383189,12538248.252280142,15890261.61424659,12865453.853807982,13106193.16835245,12847475.64589603,13391495.347430363,13443681.128700076,1252490.6229816056
2019-07-16,13386289.877779214,12468976.60256226,15825446.518592842,12772717.701528594,13092648.605994802,12778456.31793912,13342926.30470947,13383525.217871606,1246225.7414603538
2019-07-17,13349926.371649817,12284848.530812014,15812811.84315278,12739431.89635956,13085585.742562298,12750780.265328443,13399736.536421064,13346526.565372642,1240201.3592934462
2019-07-18,13462033.353383385,12345019.342042454,15903325.084393702,12856947.096887106,13238785.490794187,12878460.035853686,13515504.932768807,13458299.749605333,1242617.713802237
2019-07-19,13337198.433348369,12242620.601368392,15682476.295398662,12688993.884932783,13079955.61770127,12869399.831451531,13403873.652219508,13333088.749475498,1231733.9857597975
2019-07-22,13455427.970359294,12432887.348645156,15769677.095255435,12732028.608962232,13202261.262493066,13032435.755180318,13489356.057367546,13451063.971111884,1242773.3897328498
2019-07-23,13442371.569882667,12516386.093319038,15680248.190587506,12784167.72847387,13088767.525008436,12936745.011511032,13570125.754387198,13439171.508714976,1250545.9020614165
2019-07-24,13651213.131704224,12646182.545100499,15880206.706574934,12897932.492633585,13444482.010392018,13224923.388767874,13699057.955854574,13646615.240114711,1259357.558903151
2019-07-25,13552183.614170501,12468859.011887526,15790642.528487848,12824998.030590631,13289062.723506637,13147257.020054465,13688914.28517469,13547559.422066906,1246664.366838816
2019-07-26,13710818.147195796,12699877.91436481,16061827.27660395,12864366.621469807,13384076.923504533,13315798.24579642,13846515.738689173,13706040.388305865,1260354.3300860932
2019-07-29,13664578.543118171,12636126.030064438,16063415.965053845,12726382.934670739,13351499.08232523,13289012.465357838,13838782.381642396,13659191.436619254,1255972.8356247938
2019-07-30,13601865.418061204,12617666.518585714,15984068.92003315,12580035.998675238,13347599.176622847,13250133.471156208,13744517.209475381,13595953.811028415,1250217.3552256066
2019-07-31,13464223.95129584,12298083.742035763,16144007.942232864,12336791.778432384,13413865.929466886,12891288.907131236,13678515.002727963,13457249.89921284,1233916.0587398754
2019-08-01,13394530.810719278,12113178.630087594,16201304.581699029,12296457.469748164,13400844.908622352,12779538.051598692,13579409.37750723,13387307.69321648,1226428.1078880257
2019-08-02,13215582.962171102,11951123.007424729,15801062.937904852,12091721.573615162,13190885.78981904,12710157.275063021,13522959.94131278,13207982.461704945,1209394.2594270296
2019-08-05,12742318.592491725,11425317.487053247,15215465.471303094,11677805.749473354,12577087.954779431,12328445.475569133,13210934.229036396,12734957.657799603,1165829.4863415866
2019-08-06,12997990.13906354,11590734.085796934,15637170.72857335,11866057.115751313,12951477.85612754,12549186.062808517,13390542.254035069,12989782.498989405,1182435.686573074
2019-08-07,13100852.644551255,11625903.741129782,15859922.675473562,11956101.422657808,13165207.028256172,12581402.847837858,13429403.173398918,13092258.140555006,1187243.2172350143
2019-08-08,13576344.330820214,12046733.182792123,16597118.419026941,12434109.397627981,13783742.38793219,12980526.472477274,13646237.477259466,13567475.093368428,1214429.7770287727
2019-08-09,13507019.640923526,11854986.423627982,16570165.841266012,12362198.776808647,13691987.227365773,12890677.073571762,13721476.033187421,13497847.417451037,1202079.2562436564
2019-08-12,13280744.996124137,11720016.90042262,16078676.147138098,12126272.456243686,13352216.873066727,12726081.432589788,13699792.72201537,13271891.237396363,1188780.7857212932
2019-08-13,13530716.738397857,12024920.78685272,16384639.114276662,12337440.451037293,13695900.449361024,12912390.837570945,13842020.842446687,13521775.036576886,1214951.6905653786
2019-08-14,13079123.071995454,11588081.857578114,15800008.39354656,12015337.273877373,13158035.67819081,12477056.434705809,13447924.260429567,13071053.910911331,1177532.2785751692
2019-08-15,13081997.14937038,11589858.970836407,15701727.144931614,12014548.505200656,13133023.395621521,12511860.286862206,13538224.996375224,13073856.353973923,1176708.531823983
2019-08-16,13369441.346147621,11882172.850775337,16168459.971449114,12202505.432695262,13545302.52455872,12729582.309586128,13699415.838692429,13360701.917320227,1195451.2076475879
2019-08-19,13504118.793392466,12146196.877515068,16269659.077109879,12216973.022104505,13741244.226859698,12863821.634533724,13779637.480371337,13495014.56190933,1213563.503420802
2019-08-20,13440410.623621972,11994483.817251282,16296052.089914227,12189576.637505831,13703584.018282842,12746111.725649945,13727037.124759631,13431294.491388911,1204940.53071982
2019-08-21,13610341.388693452,12140947.224090468,16621676.822893778,12364908.546237433,13849709.393839294,12878189.062221264,13828367.474320084,13601407.895020327,1215748.8004586145
2019-08-22,13603808.578852817,12134092.692000609,16661944.290376106,12309857.15290305,13805100.870248396,12912204.404328117,13830699.26129652,13594624.02450609,1211694.3175675375
2019-08-23,13243843.194745883,11617229.435564095,16152287.052102812,12078294.185071126,13502936.512195453,12548651.523510879,13598743.361989686,13234536.019674085,1173580.044372246
2019-08-26,13440978.53650657,11815602.429512106,16429438.944428088,12305525.739004746,13716827.754625283,12693723.57028152,13722538.14832469,13431983.668559011,1190877.9585143602
2019-08-27,13408803.155503796,11742492.174082188,16213300.6241127,12293689.31861229,13695122.71291032,12733610.251957085,13780829.523742,13399454.636311654,1189464.5930141422
2019-08-28,13414727.4010187,11802134.094631018,16248517.589861004,12148403.449087124,13754386.41261529,12771027.112149684,13777863.134234088,13404533.30123362,1192902.8202982377
2019-08-29,13553697.454651443,12052761.422264844,16414136.433136486,12217697.27823788,13757623.847166443,12954326.537070263,13926775.188054163,13543812.71383869,1210889.377819803
2019-08-30,13490941.946716376,12052893.516615728,16214485.02785966,12087944.145148572,13719814.403852237,12955950.574524302,13889451.979044385,13480616.06084495,1209111.3099791803
2019-09-03,13339696.964051897,11887448.371689321,15893624.071854016,11935137.656396598,13582338.55433722,12851869.938202037,13841615.87282831,13329056.452374559,1196300.1327544153
2019-09-04,13482258.71998917,12121653.182383506,16010639.47430048,12091338.516523914,13643457.604098232,12985639.826343594,13972012.115792228,13472280.073174493,1213552.5262718485
2019-09-05,13638237.893048424,12472056.372547928,16187417.451542638,12136147.51831261,13565009.288696539,13215486.62525908,14162556.400067842,13628840.930806296,1236079.3247165016
2019-09-06,13632658.186718872,12402436.128371181,16219636.304555554,12141508.690429155,13520575.528855827,13240152.921234906,14191920.688191352,13623122.79535817,1234507.2127544952
2019-09-09,13455838.05923004,12410916.346862612,15765658.070220022,11953657.677346744,13054469.79760458,13238723.992054172,14165423.628397293,13447119.25111807,1231340.957769296
